,Perished,Survived,accuracy,macro avg,weighted avg
f1-score,0.8439306358381503,0.7157894736842105,0.7985074626865671,0.7798600547611805,0.7975511853570602
precision,0.8342857142857143,0.7311827956989247,0.7985074626865671,0.7827342549923195,0.7969686131554211
recall,0.8538011695906432,0.7010309278350515,0.7985074626865671,0.7774160487128474,0.7985074626865671
support,171.0,97.0,0.7985074626865671,268.0,268.0
